ts	cluster_label	model_version	f_temp_out	f_out_hum	f_bar	f_wind_speed	f_rain_rate	f_solar_rad	f_uv_index
2024-11-14 14:30:00+00:00	2	pca3_kmeans_v1	11.3	71.0	1032.2	0.0	0.0	72.0	0.0
2024-11-14 15:00:00+00:00	2	pca3_kmeans_v1	11.6	69.0	1032.0	0.0	0.0	78.0	0.0
2024-11-14 15:30:00+00:00	2	pca3_kmeans_v1	11.2	70.0	1031.9	0.0	0.0	37.0	0.0
2024-11-14 16:00:00+00:00	2	pca3_kmeans_v1	10.6	73.0	1031.6	0.0	0.0	15.0	0.0
2024-11-14 16:30:00+00:00	2	pca3_kmeans_v1	9.8	75.0	1031.4	0.0	0.0	1.0	0.0
2024-11-14 17:00:00+00:00	2	pca3_kmeans_v1	9.1	78.0	1031.3	0.0	0.0	0.0	0.0
2024-11-14 17:30:00+00:00	2	pca3_kmeans_v1	8.4	80.0	1031.3	0.0	0.0	0.0	0.0
2024-11-14 18:00:00+00:00	2	pca3_kmeans_v1	7.8	81.0	1031.3	0.0	0.0	0.0	0.0
2024-11-14 18:30:00+00:00	2	pca3_kmeans_v1	7.4	83.0	1031.4	0.0	0.0	0.0	0.0
2024-11-14 19:00:00+00:00	2	pca3_kmeans_v1	6.8	85.0	1031.2	0.0	0.0	0.0	0.0
2024-11-14 19:30:00+00:00	2	pca3_kmeans_v1	7.2	85.0	1031.2	0.0	0.0	0.0	0.0
2024-11-14 20:00:00+00:00	2	pca3_kmeans_v1	7.1	85.0	1031.1	0.0	0.0	0.0	0.0
2024-11-14 20:30:00+00:00	2	pca3_kmeans_v1	6.8	86.0	1030.9	0.0	0.0	0.0	0.0
2024-11-14 21:00:00+00:00	2	pca3_kmeans_v1	6.7	86.0	1030.7	0.0	0.0	0.0	0.0
2024-11-14 21:30:00+00:00	2	pca3_kmeans_v1	6.3	88.0	1030.6	0.0	0.0	0.0	0.0
2024-11-14 22:00:00+00:00	2	pca3_kmeans_v1	5.9	89.0	1030.5	0.0	0.0	0.0	0.0
2024-11-14 22:30:00+00:00	2	pca3_kmeans_v1	6.6	92.0	1030.3	0.0	0.0	0.0	0.0
2024-11-14 23:00:00+00:00	2	pca3_kmeans_v1	7.3	90.0	1029.7	0.0	0.0	0.0	0.0
2024-11-14 23:30:00+00:00	2	pca3_kmeans_v1	7.8	90.0	1029.6	0.0	0.0	0.0	0.0
2024-11-15 00:00:00+00:00	2	pca3_kmeans_v1	7.6	90.0	1029.3	0.0	0.0	0.0	0.0
2024-11-15 00:30:00+00:00	2	pca3_kmeans_v1	6.8	91.0	1029.3	0.0	0.0	0.0	0.0
2024-11-15 01:00:00+00:00	2	pca3_kmeans_v1	6.7	92.0	1029.1	0.0	0.0	0.0	0.0
2024-11-15 01:30:00+00:00	2	pca3_kmeans_v1	7.1	90.0	1028.8	0.0	0.0	0.0	0.0
2024-11-15 02:00:00+00:00	2	pca3_kmeans_v1	7.1	90.0	1028.3	0.0	0.0	0.0	0.0
2024-11-15 02:30:00+00:00	2	pca3_kmeans_v1	7.5	90.0	1028.2	0.0	0.0	0.0	0.0
2024-11-15 03:00:00+00:00	2	pca3_kmeans_v1	7.8	90.0	1028.0	0.0	0.0	0.0	0.0
2024-11-15 03:30:00+00:00	2	pca3_kmeans_v1	7.8	91.0	1027.8	0.0	0.0	0.0	0.0
2024-11-15 04:00:00+00:00	2	pca3_kmeans_v1	7.6	92.0	1027.3	0.0	0.0	0.0	0.0
2024-11-15 04:30:00+00:00	2	pca3_kmeans_v1	7.4	93.0	1027.4	0.0	0.0	0.0	0.0
2024-11-15 05:00:00+00:00	2	pca3_kmeans_v1	7.3	93.0	1027.1	0.0	0.0	0.0	0.0
2024-11-15 05:30:00+00:00	2	pca3_kmeans_v1	7.4	93.0	1026.9	0.0	0.0	0.0	0.0
2024-11-15 06:00:00+00:00	2	pca3_kmeans_v1	7.7	92.0	1026.6	0.0	0.0	0.0	0.0
2024-11-15 06:30:00+00:00	2	pca3_kmeans_v1	7.9	91.0	1026.5	0.0	0.0	0.0	0.0
2024-11-15 07:00:00+00:00	2	pca3_kmeans_v1	8.1	90.0	1026.2	0.0	0.0	0.0	0.0
2024-11-15 07:30:00+00:00	2	pca3_kmeans_v1	8.1	91.0	1026.4	0.0	0.0	0.0	0.0
2024-11-15 08:00:00+00:00	2	pca3_kmeans_v1	8.3	90.0	1025.9	0.0	0.0	5.0	0.0
2024-11-15 08:30:00+00:00	2	pca3_kmeans_v1	8.4	89.0	1025.8	0.0	0.0	12.0	0.0
2024-11-15 09:00:00+00:00	2	pca3_kmeans_v1	8.3	90.0	1025.5	0.0	0.0	40.0	0.0
2024-11-15 09:30:00+00:00	2	pca3_kmeans_v1	8.8	89.0	1025.3	0.0	0.0	77.0	0.0
2024-11-15 10:00:00+00:00	2	pca3_kmeans_v1	8.7	89.0	1024.9	0.0	0.0	71.0	0.3
2024-11-15 10:30:00+00:00	2	pca3_kmeans_v1	8.7	88.0	1025.2	0.0	0.0	81.0	0.6
2024-11-15 11:00:00+00:00	2	pca3_kmeans_v1	8.8	89.0	1024.7	0.0	0.0	91.0	0.5
2024-11-15 11:30:00+00:00	2	pca3_kmeans_v1	9.6	87.0	1023.9	0.0	0.0	122.0	0.8
2024-11-15 12:00:00+00:00	2	pca3_kmeans_v1	9.9	88.0	1023.8	0.0	0.0	187.0	1.0
2024-11-15 12:30:00+00:00	2	pca3_kmeans_v1	10.0	87.0	1023.5	0.0	0.0	246.0	1.0
2024-11-15 13:00:00+00:00	2	pca3_kmeans_v1	9.8	88.0	1023.1	0.0	0.0	169.0	0.8
2024-11-15 13:30:00+00:00	2	pca3_kmeans_v1	10.1	88.0	1022.6	0.0	0.0	164.0	0.6
2024-11-15 14:00:00+00:00	2	pca3_kmeans_v1	9.9	89.0	1022.4	0.0	0.0	55.0	0.0
2024-11-15 14:30:00+00:00	2	pca3_kmeans_v1	10.2	89.0	1022.1	0.0	0.0	89.0	0.0
2024-11-15 15:00:00+00:00	2	pca3_kmeans_v1	10.2	89.0	1021.7	0.0	0.0	36.0	0.0
2024-11-15 15:30:00+00:00	2	pca3_kmeans_v1	10.2	89.0	1021.3	0.0	0.0	28.0	0.0
2024-11-15 16:00:00+00:00	2	pca3_kmeans_v1	10.3	89.0	1021.0	0.0	0.0	12.0	0.0
2024-11-15 16:30:00+00:00	2	pca3_kmeans_v1	10.6	87.0	1020.8	0.0	0.0	2.0	0.0
2024-11-15 17:00:00+00:00	2	pca3_kmeans_v1	10.7	86.0	1020.6	0.0	0.0	0.0	0.0
2024-11-15 17:30:00+00:00	2	pca3_kmeans_v1	10.7	86.0	1020.7	0.0	0.0	0.0	0.0
2024-11-15 18:00:00+00:00	2	pca3_kmeans_v1	10.7	87.0	1020.8	0.0	0.0	0.0	0.0
2024-11-15 18:30:00+00:00	2	pca3_kmeans_v1	10.5	86.0	1020.6	0.0	0.0	0.0	0.0
2024-11-15 19:00:00+00:00	2	pca3_kmeans_v1	10.4	85.0	1020.2	0.0	0.0	0.0	0.0
2024-11-15 19:30:00+00:00	2	pca3_kmeans_v1	10.2	86.0	1020.0	0.0	0.0	0.0	0.0
